#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","True","Service de passerelle audio Bluetooth","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service AVCTP","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"bthserv","System.ServiceProcess.ServiceController[]","False","True","True","Service de prise en charge Bluetooth","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"camsvc","System.ServiceProcess.ServiceController[]","False","True","True","Service Gestionnaire d?acc?s aux fonctionnalit?s","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CaptureService_213269","System.ServiceProcess.ServiceController[]","False","False","False","CaptureService_213269","System.ServiceProcess.ServiceController[]",".","CaptureService_213269","System.ServiceProcess.ServiceController[]",,"Stopped","240","Manual",,
"cbdhsvc_213269","System.ServiceProcess.ServiceController[]","False","False","True","Service utilisateur du Presse-papiers_213269","System.ServiceProcess.ServiceController[]",".","cbdhsvc_213269","System.ServiceProcess.ServiceController[]",,"Running","240","Automatic",,
"CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service de plateforme des appareils connect?s","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CDPUserSvc_213269","System.ServiceProcess.ServiceController[]","False","False","True","Service pour utilisateur de plateforme d?appareils connect?s_213269","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_213269","System.ServiceProcess.ServiceController[]",,"Running","240","Automatic",,
"CertPropSvc","System.ServiceProcess.ServiceController[]","False","True","True","Propagation du certificat","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"ClickToRunSvc","System.ServiceProcess.ServiceController[]","False","True","True","Microsoft Office Click-to-Run Service","System.ServiceProcess.ServiceController[]",".","ClickToRunSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"ClipSVC","System.ServiceProcess.ServiceController[]","False","False","False","Service de licence client (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"CloudBackupRestoreSvc_213269","System.ServiceProcess.ServiceController[]","False","False","False","Service de restauration et de sauvegarde dans le cloud_213269","System.ServiceProcess.ServiceController[]",".","CloudBackupRestoreSvc_213269","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"cloudidsvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Cloud Identity Service","System.ServiceProcess.ServiceController[]",".","cloudidsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"COMSysApp","System.ServiceProcess.ServiceController[]","False","False","False","Application syst?me COM+","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"ConsentUxUserSvc_213269","System.ServiceProcess.ServiceController[]","False","False","False","Service utilisateur ConsentUX_213269","System.ServiceProcess.ServiceController[]",".","ConsentUxUserSvc_213269","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"CredentialEnrollmentManagerUserSvc_213269","System.ServiceProcess.ServiceController[]","False","False","False","CredentialEnrollmentManagerUserSvc_213269","System.ServiceProcess.ServiceController[]",".","CredentialEnrollmentManagerUserSvc_213269","System.ServiceProcess.ServiceController[]",,"Stopped","208","Manual",,
"CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Services de chiffrement","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"CscService","System.ServiceProcess.ServiceController[]","False","False","False","Offline Files","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","Lanceur de processus serveur DCOM",,".","DcomLaunch","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"dcsvc","System.ServiceProcess.ServiceController[]","False","False","False","Service de configuration (DC) d?clar?","System.ServiceProcess.ServiceController[]",".","dcsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimiser les lecteurs","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"DeviceAssociationBrokerSvc_213269","System.ServiceProcess.ServiceController[]","False","False","False","DeviceAssociationBroker_213269","System.ServiceProcess.ServiceController[]",".","DeviceAssociationBrokerSvc_213269","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Service d?association de p?riph?rique","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Service d?installation de p?riph?rique","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"DevicePickerUserSvc_213269","System.ServiceProcess.ServiceController[]","False","False","False","DevicePicker_213269","System.ServiceProcess.ServiceController[]",".","DevicePickerUserSvc_213269","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DevicesFlowUserSvc_213269","System.ServiceProcess.ServiceController[]","False","False","True","DevicesFlow_213269","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_213269","System.ServiceProcess.ServiceController[]",,"Running","240","Manual",,
"DevQueryBroker","System.ServiceProcess.ServiceController[]","False","True","True","Service Broker de d?couverte en arri?re-plan DevQuery","System.ServiceProcess.ServiceController[]",".","DevQueryBroker","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","Client DHCP","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"diagsvc","System.ServiceProcess.ServiceController[]","False","False","False","Diagnostic Execution Service","System.ServiceProcess.ServiceController[]",".","diagsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Exp?riences des utilisateurs connect?s et t?l?m?trie","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"DialogBlockingService","System.ServiceProcess.ServiceController[]","False","False","False","DialogBlockingService","System.ServiceProcess.ServiceController[]",".","DialogBlockingService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Disabled",,
"DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service de strat?gie d'affichage","System.ServiceProcess.ServiceController[]",".","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DisplayEnhancementService","System.ServiceProcess.ServiceController[]","False","False","True","Service d'am?lioration de l'affichage","System.ServiceProcess.ServiceController[]",".","DisplayEnhancementService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Management Enrollment Service","System.ServiceProcess.ServiceController[]",".","DmEnrollmentSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"dmwappushservice","System.ServiceProcess.ServiceController[]","False","False","False","Service de routage de messages Push du protocole WAP (Wireless Application Protocol) de gestion des appareils","System.ServiceProcess.ServiceController[]",".","dmwappushservice","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Dnscache","System.ServiceProcess.ServiceController[]","False","False","False","Client DNS","System.ServiceProcess.ServiceController[]",".","Dnscache","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"DolbyDAXAPI","System.ServiceProcess.ServiceController[]","False","True","True","Dolby DAX API Service","System.ServiceProcess.ServiceController[]",".","DolbyDAXAPI","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"DoSvc","System.ServiceProcess.ServiceController[]","False","False","True","Optimisation de livraison","System.ServiceProcess.ServiceController[]",".","DoSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"dot3svc","System.ServiceProcess.ServiceController[]","False","False","False","Configuration automatique de r?seau c?bl?","System.ServiceProcess.ServiceController[]",".","dot3svc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DPS","System.ServiceProcess.ServiceController[]","False","True","True","Service de strat?gie de diagnostic","System.ServiceProcess.ServiceController[]",".","DPS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DsmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Gestionnaire d?installation de p?riph?rique","System.ServiceProcess.ServiceController[]",".","DsmSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"DsSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service de partage des donn?es","System.ServiceProcess.ServiceController[]",".","DsSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DusmSvc","System.ServiceProcess.ServiceController[]","False","False","True","Utilisation des donn?es","System.ServiceProcess.ServiceController[]",".","DusmSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"EapHost","System.ServiceProcess.ServiceController[]","False","True","True","Protocole EAP (Extensible Authentication Protocol)","System.ServiceProcess.ServiceController[]",".","EapHost","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"edgeupdate","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Update Service (edgeupdate)","System.ServiceProcess.ServiceController[]",".","edgeupdate","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Automatic",,
"edgeupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Update Service (edgeupdatem)","System.ServiceProcess.ServiceController[]",".","edgeupdatem","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"EFS","System.ServiceProcess.ServiceController[]","False","False","False","Syst?me de fichiers EFS (Encrypting File System)","System.ServiceProcess.ServiceController[]",".","EFS","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ElevocService","System.ServiceProcess.ServiceController[]","False","True","True","Elevoc Control Service","System.ServiceProcess.ServiceController[]",".","ElevocService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"embeddedmode","System.ServiceProcess.ServiceController[]","False","False","False","Mode incorpor?","System.ServiceProcess.ServiceController[]",".","embeddedmode","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"EntAppSvc","System.ServiceProcess.ServiceController[]","False","False","False","Service de gestion des applications d'entreprise","System.ServiceProcess.ServiceController[]",".","EntAppSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"EPDService","System.ServiceProcess.ServiceController[]","False","True","True","ELAN PST Service","System.ServiceProcess.ServiceController[]",".","EPDService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"EventLog","System.ServiceProcess.ServiceController[]","False","True","True","Journal d??v?nements Windows","System.ServiceProcess.ServiceController[]",".","EventLog","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"EventSystem","System.ServiceProcess.ServiceController[]","False","False","True","Syst?me d??v?nement COM+","System.ServiceProcess.ServiceController[]",".","EventSystem","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"fdPHost","System.ServiceProcess.ServiceController[]","False","False","False","H?te du fournisseur de d?couverte de fonctions","System.ServiceProcess.ServiceController[]",".","fdPHost","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"FDResPub","System.ServiceProcess.ServiceController[]","False","False","False","Publication des ressources de d?couverte de fonctions","System.ServiceProcess.ServiceController[]",".","FDResPub","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"fhsvc","System.ServiceProcess.ServiceController[]","False","False","False","File History Service","System.ServiceProcess.ServiceController[]",".","fhsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"FileSyncHelper","System.ServiceProcess.ServiceController[]","False","False","True","FileSyncHelper","System.ServiceProcess.ServiceController[]",".","FileSyncHelper","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"FontCache","System.ServiceProcess.ServiceController[]","False","True","True","Service de cache de police Windows","System.ServiceProcess.ServiceController[]",".","FontCache","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"FrameServer","System.ServiceProcess.ServiceController[]","False","False","False","Serveur de trame de la Cam?ra Windows","System.ServiceProcess.ServiceController[]",".","FrameServer","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"FrameServerMonitor","System.ServiceProcess.ServiceController[]","False","False","False","Moniteur de serveur de trame Cam?ra Windows","System.ServiceProcess.ServiceController[]",".","FrameServerMonitor","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"GameInputSvc","System.ServiceProcess.ServiceController[]","False","False","False","GameInput Service","System.ServiceProcess.ServiceController[]",".","GameInputSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"GoogleChromeElevationService","System.ServiceProcess.ServiceController[]","False","False","False","Google Chrome Elevation Service (GoogleChromeElevationService)","System.ServiceProcess.ServiceController[]",".","GoogleChromeElevationService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"GoogleUpdaterInternalService144.0.7547.0","System.ServiceProcess.ServiceController[]","False","False","False","Service interne de mise ? jour de Google (GoogleUpdaterInternalService144.0.7547.0)","System.ServiceProcess.ServiceController[]",".","GoogleUpdaterInternalService144.0.7547.0","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Automatic",,
"GoogleUpdaterService144.0.7547.0","System.ServiceProcess.ServiceController[]","False","False","False","Service de mise ? jour Google (GoogleUpdaterService144.0.7547.0)","System.ServiceProcess.ServiceController[]",".","GoogleUpdaterService144.0.7547.0","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Automatic",,
"gpsvc","System.ServiceProcess.ServiceController[]","False","False","True","Client de strat?gie de groupe","System.ServiceProcess.ServiceController[]",".","gpsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","False","False","False","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]",".","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"hidserv","System.ServiceProcess.ServiceController[]","False","True","True","Service du p?riph?rique d'interface utilisateur","System.ServiceProcess.ServiceController[]",".","hidserv","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"hmpalertsvc","System.ServiceProcess.ServiceController[]","False","True","False","HitmanPro.Alert service","System.ServiceProcess.ServiceController[]",".","hmpalertsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"hpatchmon","System.ServiceProcess.ServiceController[]","False","False","False","Hotpatch Monitoring Service","System.ServiceProcess.ServiceController[]",".","hpatchmon","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"HvHost","System.ServiceProcess.ServiceController[]","False","True","True","Service d'h?te HV","System.ServiceProcess.ServiceController[]",".","HvHost","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"IBMPMSVC","System.ServiceProcess.ServiceController[]","False","False","True","Lenovo PM Service","System.ServiceProcess.ServiceController[]",".","IBMPMSVC","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"icssvc","System.ServiceProcess.ServiceController[]","False","False","False","Service de point d'acc?s sans fil mobile Windows","System.ServiceProcess.ServiceController[]",".","icssvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"IKEEXT","System.ServiceProcess.ServiceController[]","False","False","False","Modules de g?n?ration de cl?s IKE et AuthIP","System.ServiceProcess.ServiceController[]",".","IKEEXT","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"InstallService","System.ServiceProcess.ServiceController[]","False","False","True","Installation du service Microsoft Store","System.ServiceProcess.ServiceController[]",".","InstallService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"InventorySvc","System.ServiceProcess.ServiceController[]","False","True","True","Service d?Appraisal inventaire et compatibilit?","System.ServiceProcess.ServiceController[]",".","InventorySvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"iphlpsvc","System.ServiceProcess.ServiceController[]","False","False","True","Assistance IP","System.ServiceProcess.ServiceController[]",".","iphlpsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","False","False","False","Service de configuration de conversion IP","System.ServiceProcess.ServiceController[]",".","IpxlatCfgSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"KeyIso","System.ServiceProcess.ServiceController[]","False","False","True","Isolation de cl? CNG","System.ServiceProcess.ServiceController[]",".","KeyIso","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"KtmRm","System.ServiceProcess.ServiceController[]","False","False","False","Service KtmRm pour Distributed Transaction Coordinator","System.ServiceProcess.ServiceController[]",".","KtmRm","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"LanmanServer","System.ServiceProcess.ServiceController[]","False","False","True","Serveur","System.ServiceProcess.ServiceController[]",".","LanmanServer","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LanmanWorkstation","System.ServiceProcess.ServiceController[]","True","False","True","Station de travail","System.ServiceProcess.ServiceController[]",".","LanmanWorkstation","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LenovoSmartStandby","System.ServiceProcess.ServiceController[]","True","True","True","Lenovo Smart Standby","System.ServiceProcess.ServiceController[]",".","LenovoSmartStandby","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"LenovoVantageService","System.ServiceProcess.ServiceController[]","False","True","True","Critical Service for Lenovo Vantage","System.ServiceProcess.ServiceController[]",".","LenovoVantageService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"lfsvc","System.ServiceProcess.ServiceController[]","False","False","True","Geolocation Service","System.ServiceProcess.ServiceController[]",".","lfsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LicenseManager","System.ServiceProcess.ServiceController[]","False","False","True","Serveur Gestionnaire de licences Windows","System.ServiceProcess.ServiceController[]",".","LicenseManager","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LITSSVC","System.ServiceProcess.ServiceController[]","False","True","True","Lenovo Intelligent Thermal Solution Service","System.ServiceProcess.ServiceController[]",".","LITSSVC","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"lltdsvc","System.ServiceProcess.ServiceController[]","False","False","False","Mappage de d?couverte de topologie de la couche de liaison","System.ServiceProcess.ServiceController[]",".","lltdsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"lmhosts","System.ServiceProcess.ServiceController[]","False","False","True","Assistance NetBIOS sur TCP/IP","System.ServiceProcess.ServiceController[]",".","lmhosts","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
